id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
11401,-58.38745653,-34.61248601,BANCO DE LA NACION ARGENTINA,LINK,Av. Pte. Roque Saenz PeÒa 310,CABA,1,FALSE,FALSE,Av. Pte. Roque Saenz PeÒa,310,,,,,
11047,-58.37412793,-34.60762297,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Pte. Roque Saenz PeÒa 541,CABA,3,FALSE,FALSE,Av. Pte. Roque Saenz PeÒa,541,,San Nicolas,Comuna 1,1035,C1035AAA
11008,-58.39670074,-34.58723739,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Pueyrredon 2247 esquina Av. Las Heras,CABA,2,FALSE,FALSE,Av. Pueyrredon,2247,,Recoleta,Comuna 2,1119,C1119ACF
11001,-58.39323558,-34.58550737,BANCO HIPOTECARIO S.A.,LINK,Av. Pueyrredon 2501,CABA,1,FALSE,FALSE,Av. Pueyrredon,2501,,Recoleta,Comuna 2,1119,C1119ACI
11799,-58.41277421,-34.55774364,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Rafael Obligado s/n,CABA,2,FALSE,FALSE,,0,,,,,
11725,-58.380936,-34.57626322,BANCO DE LA NACION ARGENTINA,LINK,Av. Rafael Obligado s/n esquina Edison,CABA,1,FALSE,FALSE,,0,,,,,
11708,-58.3737908,-34.59062158,CABAL COOP. LTDA.,LINK,Av. Ramos Mejia 1430,CABA,2,FALSE,FALSE,Av. Ramos Mejia,1430,,Retiro,Comuna 1,1104,C1104AJO
11716,-58.3717527,-34.58820154,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Ramos Mejia 1650 esquina Av. Antartida Argenti,CABA,1,FALSE,FALSE,Av. Ramos Mejia,1650,,Retiro,Comuna 1,1104,C1104AJQ
11712,-58.3718837,-34.58836154,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Ramos Mejia 1650 piso 2¬∫,CABA,2,FALSE,FALSE,Av. Ramos Mejia,1650,,Retiro,Comuna 1,1104,C1104AJQ
11704,-58.3718797,-34.58836654,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Ramos Mejia s/n, entre Av. Del Libertador y Av",CABA,2,FALSE,FALSE,,0,,,,,
